"","X","league","cumPoints","Goals","Points","Standing","Shots","ShotsOnTarget","Corners","Fouls","DP","results","B365H","B365D","B365A"
"2340",2340,"SPD",0.670103092783505,0.384615384615385,0.6,0.125,0.675,0.593220338983051,0.372549019607843,0.51063829787234,0.439393939393939,"D",3.4,3.4,2.1
"2341",2341,"SPD",0.34020618556701,0.307692307692308,0.266666666666667,1.23076923076923,0.516666666666667,0.389830508474576,0.627450980392157,0.73758865248227,0.666666666666667,"A",1.85,3.5,4.2
"2342",2342,"SPD",0.463917525773196,0.192307692307692,0.4,0.666666666666667,0.475,0.305084745762712,0.372549019607843,0.680851063829787,0.318181818181818,"H",2.2,3.25,3.3
"2344",2344,"SPD",0.402061855670103,0.307692307692308,0.466666666666667,3.66666666666667,0.391666666666667,0.322033898305085,0.470588235294118,0.588652482269504,0.606060606060606,"D",1.33,4.75,9.5
"2345",2345,"SPD",0.360824742268041,0.115384615384615,0.266666666666667,0.8,0.525,0.203389830508475,0.627450980392157,0.73758865248227,0.348484848484849,"A",2.9,3.3,2.37
"2347",2347,"SPD",0.381443298969072,0.307692307692308,0.666666666666667,2.8,0.483333333333333,0.322033898305085,0.549019607843137,0.51063829787234,0.409090909090909,"A",2,3.3,3.8
"2348",2348,"SPD",0.608247422680412,0.346153846153846,0.866666666666667,0.285714285714286,0.425,0.322033898305085,0.372549019607843,0.602836879432624,0.333333333333333,"H",2.1,3.4,3.4
"2350",2350,"SPD",0.391752577319588,0.346153846153846,0.6,0.722222222222222,0.516666666666667,0.525423728813559,0.411764705882353,0.609929078014184,0.378787878787879,"A",1.95,3.3,4
"2353",2353,"SPD",0.608247422680412,0.346153846153846,0.8,0.333333333333333,0.4,0.338983050847458,0.294117647058824,0.617021276595745,0.5,"H",3.2,3.25,2.25
"2354",2354,"SPD",0.195876288659794,0.115384615384615,0,2,0.55,0.423728813559322,0.588235294117647,0.475177304964539,0.393939393939394,"A",1.44,4.2,7.5
"2355",2355,"SPD",0.381443298969072,0.153846153846154,0.466666666666667,2.28571428571429,0.541666666666667,0.372881355932203,0.549019607843137,0.617021276595745,0.5,"A",2.25,3.25,3.2
"2356",2356,"SPD",0.34020618556701,0.153846153846154,0.266666666666667,1.5,0.566666666666667,0.322033898305085,0.686274509803922,0.645390070921986,0.545454545454545,"D",2.62,3.25,2.62
"2357",2357,"SPD",0.443298969072165,0.269230769230769,0.866666666666667,0.615384615384615,0.441666666666667,0.305084745762712,0.411764705882353,0.695035460992908,0.515151515151515,"H",2.1,3.4,3.4
"2358",2358,"SPD",0.494845360824742,0.307692307692308,0.6,0.545454545454545,0.641666666666667,0.457627118644068,0.607843137254902,0.595744680851064,0.5,"A",2.8,3.4,2.4
"2360",2360,"SPD",0.0721649484536082,0.346153846153846,0.466666666666667,1.55555555555556,0.541666666666667,0.457627118644068,0.568627450980392,0.624113475177305,0.242424242424242,"A",1.72,3.25,4.33
"2361",2361,"SPD",0.54639175257732,0.461538461538462,0.6,0.266666666666667,0.566666666666667,0.491525423728814,0.509803921568628,0.524822695035461,0.272727272727273,"D",2.62,3.3,2.62
"2362",2362,"SPD",0.422680412371134,0.307692307692308,0.6,2.5,0.491666666666667,0.423728813559322,0.392156862745098,0.624113475177305,0.333333333333333,"A",1.61,3.6,6
"2363",2363,"SPD",0.463917525773196,0.0769230769230769,0.2,4,0.458333333333333,0.305084745762712,0.392156862745098,0.709219858156028,0.181818181818182,"D",1.53,3.75,7
"2364",2364,"SPD",0.463917525773196,0.346153846153846,0.533333333333333,1.4,0.541666666666667,0.423728813559322,0.725490196078431,0.624113475177305,0.454545454545455,"A",1.5,3.8,7.5
"2367",2367,"SPD",0.422680412371134,0.0769230769230769,0.333333333333333,0.6,0.425,0.305084745762712,0.568627450980392,0.531914893617021,0.606060606060606,"H",3.25,3.3,2.2
"2368",2368,"SPD",0.422680412371134,0.307692307692308,0.466666666666667,0.684210526315789,0.516666666666667,0.406779661016949,0.705882352941177,0.652482269503546,0.46969696969697,"A",2.62,3.3,2.6
