"","league","cumPoints","Goals","Points","Standing","Shots","ShotsOnTarget","Corners","Fouls","DP","results","B365H","B365D","B365A"
"3137","EPL",0.123595505617978,0.3,0.333333333333333,0.714285714285714,0.38135593220339,0.301369863013699,0.35,0.559633027522936,0.510204081632653,"D",2.1,3.3,3.6
"3138","EPL",0.0674157303370786,0.25,0.2,1.2,0.449152542372881,0.534246575342466,0.3,0.513761467889908,0.571428571428571,"H",2.1,3.3,3.6
"3139","EPL",0.168539325842697,0.3,0.533333333333333,0.454545454545455,0.61864406779661,0.547945205479452,0.583333333333333,0.431192660550459,0.571428571428571,"A",4,3.3,2
"3140","EPL",0.0786516853932584,0.45,0.333333333333333,0.85,0.593220338983051,0.575342465753425,0.3,0.559633027522936,0.530612244897959,"A",2.88,3.25,2.5
"3141","EPL",0.134831460674157,0.3,0.533333333333333,1.8,0.601694915254237,0.547945205479452,0.466666666666667,0.559633027522936,0.591836734693878,"H",1.36,4.75,9
"3142","EPL",0.213483146067416,0.45,0.733333333333333,0.4,0.635593220338983,0.602739726027397,0.5,0.403669724770642,0.285714285714286,"A",2.1,3.2,3.8
"3143","EPL",0.112359550561798,0.4,0.666666666666667,0.125,0.457627118644068,0.26027397260274,0.366666666666667,0.706422018348624,0.326530612244898,"D",0,0,0
"3144","EPL",0.123595505617978,0.3,0.533333333333333,2.16666666666667,0.423728813559322,0.410958904109589,0.3,0.486238532110092,0.163265306122449,"H",1.4,4.5,8.5
"3145","EPL",0.146067415730337,0.45,0.533333333333333,0.888888888888889,0.542372881355932,0.520547945205479,0.383333333333333,0.293577981651376,0.204081632653061,"H",1.83,3.5,4.5
"3146","EPL",0.213483146067416,0.75,0.6,0.222222222222222,0.584745762711864,0.589041095890411,0.283333333333333,0.577981651376147,0.959183673469388,"A",7.5,4.33,1.44
"3147","EPL",0.134831460674157,0.45,0.466666666666667,2.4,0.525423728813559,0.534246575342466,0.65,0.458715596330275,0.408163265306122,"D",1.29,5.5,10
"3148","EPL",0.112359550561798,0.4,0.333333333333333,7.5,0.533898305084746,0.479452054794521,0.483333333333333,0.513761467889908,0.408163265306122,"H",1.25,5.5,13
"3149","EPL",0.112359550561798,0.2,0.2,4.66666666666667,0.483050847457627,0.410958904109589,0.283333333333333,0.541284403669725,0.591836734693878,"H",2.25,3.25,3.3
"3150","EPL",0.314606741573034,0.95,1,0.1,0.754237288135593,0.698630136986301,0.433333333333333,0.559633027522936,0.469387755102041,"A",10,5,1.33
"3151","EPL",0.134831460674157,0.25,0.266666666666667,0.578947368421053,0.457627118644068,0.356164383561644,0.45,0.577981651376147,0.489795918367347,"H",2.4,3.3,3
"3152","EPL",0.213483146067416,0.55,0.866666666666667,0.333333333333333,0.610169491525424,0.589041095890411,0.483333333333333,0.467889908256881,0.244897959183673,"A",3.25,3.3,2.25
"3153","EPL",0.0561797752808989,0.1,0,1.17647058823529,0.525423728813559,0.493150684931507,0.466666666666667,0.678899082568807,0.591836734693878,"H",1.91,3.3,4.33
"3154","EPL",0.0561797752808989,0.3,0.333333333333333,3.25,0.474576271186441,0.26027397260274,0.35,0.55045871559633,0.489795918367347,"A",0,0,0
"3155","EPL",0.123595505617978,0.35,0.266666666666667,0.933333333333333,0.677966101694915,0.671232876712329,0.633333333333333,0.44954128440367,0.285714285714286,"H",1.57,3.75,6.5
"3156","EPL",0.280898876404494,0.5,0.866666666666667,3,0.432203389830508,0.424657534246575,0.4,0.495412844036697,0.36734693877551,"H",1.3,5.5,10
"3157","EPL",0.213483146067416,0.7,0.8,0.5,0.567796610169491,0.520547945205479,0.533333333333333,0.513761467889908,0.285714285714286,"A",5.5,3.6,1.67
"3158","EPL",0.134831460674157,0.25,0.266666666666667,0.916666666666667,0.567796610169491,0.493150684931507,0.333333333333333,0.486238532110092,0.36734693877551,"A",1.83,3.5,4.5
"3159","EPL",0.112359550561798,0.5,0.4,0.941176470588235,0.601694915254237,0.643835616438356,0.366666666666667,0.513761467889908,0.571428571428571,"D",2.3,3.25,3.2
"3160","EPL",0.292134831460674,0.3,0.666666666666667,0.222222222222222,0.516949152542373,0.479452054794521,0.45,0.44954128440367,0.428571428571429,"A",6.5,4.2,1.5
"3161","EPL",0.101123595505618,0.5,0.4,1.38461538461538,0.601694915254237,0.657534246575342,0.4,0.577981651376147,0.469387755102041,"H",2,3.4,3.8
"3162","EPL",0.0674157303370786,0.25,0.133333333333333,0.95,0.5,0.493150684931507,0.433333333333333,0.577981651376147,0.489795918367347,"D",2.5,3.25,2.88
"3163","EPL",0.213483146067416,0.3,0.6,1.5,0.754237288135593,0.671232876712329,0.8,0.412844036697248,0.163265306122449,"A",1.83,3.5,4.5
"3164","EPL",0.168539325842697,0.45,0.466666666666667,1.6,0.415254237288136,0.36986301369863,0.35,0.486238532110092,0.387755102040816,"H",1.57,4,6
"3165","EPL",0.123595505617978,0.2,0.533333333333333,0.5,0.389830508474576,0.219178082191781,0.316666666666667,0.688073394495413,0.36734693877551,"D",0,0,0
"3166","EPL",0.123595505617978,0.2,0.266666666666667,3,0.550847457627119,0.589041095890411,0.416666666666667,0.532110091743119,0.530612244897959,"D",1.44,4.2,8
"3167","EPL",0.146067415730337,0.35,0.4,0.611111111111111,0.550847457627119,0.520547945205479,0.316666666666667,0.55045871559633,0.408163265306122,"A",3.1,3.25,2.38
"3168","EPL",0.123595505617978,0.35,0.266666666666667,2.83333333333333,0.5,0.520547945205479,0.483333333333333,0.504587155963303,0.326530612244898,"H",1.22,6,15
"3169","EPL",0.280898876404494,0.45,0.666666666666667,1.5,0.432203389830508,0.438356164383562,0.4,0.467889908256881,0.285714285714286,"D",1.4,4.5,8.5
"3170","EPL",0.168539325842697,0.4,0.466666666666667,0.75,0.5,0.465753424657534,0.35,0.513761467889908,0.326530612244898,"H",2.1,3.4,3.5
"3171","EPL",0.0786516853932584,0.4,0.2,1.35714285714286,0.508474576271186,0.465753424657534,0.416666666666667,0.614678899082569,0.673469387755102,"H",1.83,3.5,4.5
"3172","EPL",0.0674157303370786,0.25,0.0666666666666667,1.25,0.652542372881356,0.561643835616438,0.5,0.752293577981651,0.448979591836735,"A",1.67,3.6,5.5
"3173","EPL",0.280898876404494,0.6,0.866666666666667,0.4,0.593220338983051,0.616438356164384,0.383333333333333,0.431192660550459,0.163265306122449,"A",4,3.6,1.91
"3174","EPL",0.382022471910112,0.95,1,0.142857142857143,0.677966101694915,0.657534246575342,0.316666666666667,0.568807339449541,0.428571428571429,"D",2.75,3.2,2.63
