"","league","cumPoints","Goals","Points","Standing","Shots","ShotsOnTarget","Corners","Fouls","DP","results","B365H","B365D","B365A"
"1596","SPD",0.268041237113402,0.0384615384615385,0.0666666666666667,1.81818181818182,0.416666666666667,0.254237288135593,0.431372549019608,0.468085106382979,0.5,"D",1.4,4.5,8
"1597","SPD",0.463917525773196,0.269230769230769,0.266666666666667,0.625,0.65,0.389830508474576,0.725490196078431,0.48936170212766,0.636363636363636,"H",1.83,3.5,3.75
"1598","SPD",0.391752577319588,0.230769230769231,0.4,0.944444444444444,0.6,0.355932203389831,0.529411764705882,0.48936170212766,0.257575757575758,"A",2.4,3.4,2.8
"1599","SPD",0.938144329896907,0.461538461538462,0.866666666666667,0.142857142857143,0.925,0.610169491525424,0.784313725490196,0.482269503546099,0.454545454545455,"A",6,4,1.53
"1600","SPD",0.443298969072165,0.307692307692308,0.466666666666667,2.33333333333333,0.608333333333333,0.322033898305085,0.549019607843137,0.425531914893617,0.363636363636364,"D",1.4,4.5,7.5
"1601","SPD",0.56701030927835,0.269230769230769,0.533333333333333,1.5,0.733333333333333,0.576271186440678,0.882352941176471,0.404255319148936,0.46969696969697,"H",1.2,6,15
"1602","SPD",0.412371134020619,0.307692307692308,0.2,1.66666666666667,0.525,0.440677966101695,0.686274509803922,0.687943262411348,0.727272727272727,"H",1.85,3.5,4.2
"1603","SPD",0.443298969072165,0.269230769230769,0.533333333333333,1.3,0.458333333333333,0.389830508474576,0.333333333333333,0.446808510638298,0.515151515151515,"A",1.73,3.6,4.75
"1604","SPD",0.494845360824742,0.153846153846154,0.333333333333333,2,0.416666666666667,0.23728813559322,0.490196078431373,0.382978723404255,0.46969696969697,"H",1.44,4,8
"1605","SPD",0.45360824742268,0.269230769230769,0.6,0.333333333333333,0.475,0.271186440677966,0.607843137254902,0.780141843971631,0.651515151515151,"H",2.8,3.25,2.4
"1606","SPD",0.536082474226804,0.346153846153846,0.466666666666667,0.263157894736842,0.333333333333333,0.338983050847458,0.176470588235294,0.446808510638298,0.454545454545455,"H",2.25,3.4,3.1
"1607","SPD",0.474226804123711,0.269230769230769,0.266666666666667,1.375,0.35,0.271186440677966,0.470588235294118,0.475177304964539,0.393939393939394,"D",1.8,3.5,4.5
"1608","SPD",0.56701030927835,0.192307692307692,0.333333333333333,0.666666666666667,0.575,0.406779661016949,0.666666666666667,0.418439716312057,0.439393939393939,"H",2,3.5,3.6
"1609","SPD",0.463917525773196,0.230769230769231,0.2,6.5,0.5,0.23728813559322,0.647058823529412,0.482269503546099,0.515151515151515,"H",1.13,8,19
"1610","SPD",0.969072164948454,0.576923076923077,1,0.0666666666666667,0.8,0.610169491525424,0.725490196078431,0.539007092198582,0.515151515151515,"A",7.5,5,1.36
"1611","SPD",0.536082474226804,0.269230769230769,0.266666666666667,0.714285714285714,0.358333333333333,0.338983050847458,0.333333333333333,0.468085106382979,0.484848484848485,"H",1.91,3.4,4
"1612","SPD",0.45360824742268,0.269230769230769,0.466666666666667,1.55555555555556,0.65,0.338983050847458,0.705882352941177,0.368794326241135,0.227272727272727,"H",1.8,3.5,4.5
"1613","SPD",0.412371134020619,0.0769230769230769,0,1.41666666666667,0.491666666666667,0.338983050847458,0.666666666666667,0.638297872340426,0.818181818181818,"H",1.7,3.6,5
"1614","SPD",0.474226804123711,0.230769230769231,0.533333333333333,0.526315789473684,0.45,0.305084745762712,0.333333333333333,0.432624113475177,0.545454545454545,"H",2.3,3.25,3.1
"1615","SPD",0.422680412371134,0.307692307692308,0.6,5.33333333333333,0.591666666666667,0.440677966101695,0.450980392156863,0.453900709219858,0.378787878787879,"H",1.57,4.2,4.5
"1616","SPD",0.257731958762887,0.153846153846154,0.266666666666667,0.842105263157895,0.416666666666667,0.23728813559322,0.490196078431373,0.702127659574468,0.378787878787879,"H",1.83,3.25,4.5
"1617","SPD",0.278350515463918,0.0769230769230769,0.133333333333333,1.11111111111111,0.5,0.305084745762712,0.529411764705882,0.49645390070922,0.454545454545455,"H",1.33,5,9
"1618","SPD",0.927835051546392,0.692307692307692,0.8,0.2,0.616666666666667,0.525423728813559,0.549019607843137,0.390070921985816,0.333333333333333,"D",7.5,5.5,1.33
"1619","SPD",0.628865979381443,0.346153846153846,0.6,0.214285714285714,0.525,0.423728813559322,0.745098039215686,0.624113475177305,0.560606060606061,"H",2.7,3.4,2.5
"1620","SPD",0.505154639175258,0.307692307692308,0.266666666666667,0.769230769230769,0.616666666666667,0.372881355932203,0.705882352941177,0.397163120567376,0.46969696969697,"D",2.8,3.5,2.38
"1621","SPD",0.412371134020619,0.230769230769231,0.8,1.63636363636364,0.675,0.474576271186441,0.490196078431373,0.602836879432624,0.53030303030303,"A",5.5,4,1.57
"1622","SPD",0.505154639175258,0.0769230769230769,0.466666666666667,1.5,0.475,0.169491525423729,0.725490196078431,0.446808510638298,0.348484848484849,"H",1.57,4,5.5
